Arizona Cardinals,2012
,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
,Week,Day,Date,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,OT,Rec,Unnamed: 8_level_1,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
8,9,Sun,November 4,8:31PM ET,boxscore,W,,8-0,,Dallas Cowboys,19.0,13.0,21.0,453.0,330.0,123.0,,18.0,377.0,312.0,65.0,,17.08,-9.19,-6.06
9,10,Sun,November 11,1:02PM ET,boxscore,L,,8-1,@,New Orleans Saints,27.0,31.0,25.0,454.0,408.0,46.0,1.0,21.0,440.0,292.0,148.0,1.0,11.41,-14.59,-3.69
10,11,Sun,November 18,1:03PM ET,boxscore,W,,9-1,,Arizona Cardinals,23.0,19.0,20.0,354.0,296.0,58.0,6.0,7.0,178.0,41.0,137.0,1.0,-19.88,25.36,-2.52
11,12,Sun,November 25,1:02PM ET,boxscore,W,,10-1,@,Tampa Bay Buccaneers,24.0,23.0,20.0,424.0,345.0,79.0,2.0,16.0,326.0,276.0,50.0,,14.01,-9.82,-4.24
12,13,Thu,November 29,8:29PM ET,boxscore,W,,11-1,,New Orleans Saints,23.0,13.0,15.0,283.0,159.0,124.0,1.0,24.0,436.0,335.0,101.0,5.0,-6.68,5.03,5.49
13,14,Sun,December 9,1:04PM ET,boxscore,L,,11-2,@,Carolina Panthers,20.0,30.0,26.0,362.0,327.0,35.0,1.0,23.0,475.0,280.0,195.0,,13.6,-23.22,-1.47
14,15,Sun,December 16,1:03PM ET,boxscore,W,,12-2,,New York Giants,34.0,0.0,22.0,394.0,265.0,129.0,,10.0,256.0,159.0,97.0,3.0,19.97,14.81,1.84
15,16,Sat,December 22,8:40PM ET,boxscore,W,,13-2,@,Detroit Lions,31.0,18.0,19.0,344.0,271.0,73.0,,25.0,522.0,443.0,79.0,3.0,15.32,-6.64,5.31
16,17,Sun,December 30,1:02PM ET,boxscore,L,,13-3,,Tampa Bay Buccaneers,17.0,22.0,15.0,278.0,213.0,65.0,,18.0,366.0,222.0,144.0,1.0,-4.33,-1.95,-4.03
17,,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
18,Division,Sun,January 13,1:05PM ET,boxscore,W,,14-3,,Seattle Seahawks,30.0,28.0,24.0,417.0,250.0,167.0,2.0,28.0,491.0,368.0,123.0,2.0,17.64,-16.85,-0.63
19,Conf. Champ.,Sun,January 20,3:05PM ET,boxscore,L,,14-4,,San Francisco 49ers,24.0,28.0,27.0,477.0,396.0,81.0,2.0,21.0,373.0,224.0,149.0,1.0,15.22,-16.62,1.23

